id,created_at,nome,preco,descricao,ingredientes,imagens_urls,ativo,curtidas,categoria_id,tipo_item
120,2025-07-15 15:15:14.081342-03,Burger Apocalipse Bacon,32.90,Uma explosão de sabor com muito bacon e molho especial.,"[""pão brioche"",""hambúrguer 180g"",""bacon crocante"",""cheddar"",""alface"",""molho apocalipse""]","[""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(3).png?ziplineFileId=cmd529zqw00nsqj01plag85wp"",""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(4).png?ziplineFileId=cmd529zuw00ntqj01kbg6hvh2""]",true,0,25,PRODUTO
121,2025-07-15 15:15:14.081342-03,X-Tudo Monstro da Madrugada,36.50,"O lanche dos corajosos: tudo que você imagina, num só sanduba.","[""pão artesanal"",""2 hambúrgueres"",""ovo"",""bacon"",""queijo prato"",""presunto"",""alface"",""tomate"",""maionese""]","[""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(5).png?ziplineFileId=cmd52b7ti00nvqj011v1e0y87"",""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(6).png?ziplineFileId=cmd52b7qd00nuqj01p8394nap""]",true,0,25,PRODUTO
122,2025-07-15 15:15:14.081342-03,Smash Infernal Duplo Queijo,29.90,Dois smashs suculentos com queijo derretido pra derreter seu coração.,"[""pão selado"",""2 smash burgers 100g"",""duplo cheddar"",""picles"",""molho da casa""]","[""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(2).png?ziplineFileId=cmd52bvco00nxqj01bk9xo1jq"",""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(9).png?ziplineFileId=cmd52bu5i00nwqj01sg35d759""]",true,0,25,PRODUTO
123,2025-07-15 15:15:14.081342-03,Barbecue do Chef,30.00,Hambúrguer defumado com toque especial de barbecue artesanal.,"[""pão australiano"",""hambúrguer 200g"",""queijo gouda"",""cebola caramelizada"",""molho barbecue""]","[""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(7).png?ziplineFileId=cmd52d4wg00nzqj0100q43agh"",""https://storage.uptecnology.com.br/u/burguer-food-delivery%20(8).png?ziplineFileId=cmd52d3ss00nyqj01tbdye6cj""]",true,0,25,PRODUTO
124,2025-07-15 15:15:14.081342-03,Vegan Crunch Supreme,27.50,"Delicioso e crocante, 100% vegano e cheio de sabor.","[""pão integral"",""hambúrguer vegetal"",""rúcula"",""tomate seco"",""creme de tofu"",""cenoura crocante""]","[""https://storage.uptecnology.com.br/u/burger-vegano-food-delivery%20(1).png?ziplineFileId=cmd52kpax00o1qj0156tuly9g"",""https://storage.uptecnology.com.br/u/burger-vegano-food-deliver-y.png?ziplineFileId=cmd52ll8s00o2qj017e46gocx""]",true,0,25,PRODUTO
125,2025-07-15 15:15:14.081342-03,Cheddar Explosivo Triplo,39.90,Pra quem ama cheddar: triplo hambúrguer e muito queijo.,"[""pão brioche"",""3 smash burgers 100g"",""cheddar derretido"",""cebola roxa"",""molho especial""]","[""https://storage.uptecnology.com.br/u/burger-cheedar%20(1).png?ziplineFileId=cmd52q71q00o4qj01o1cgl8qr"",""https://storage.uptecnology.com.br/u/burger-cheedar.png?ziplineFileId=cmd52q5sq00o3qj01142rqdxn""]",true,0,25,PRODUTO
126,2025-07-15 15:15:35.300617-03,Margherita Clássica da Nona,44.90,Receita tradicional italiana com muito amor e sabor.,"[""molho de tomate"",""muçarela"",""manjericão fresco"",""azeite extra virgem""]","[""https://storage.uptecnology.com.br/u/Pizza%20Margherita%20%20Nona.png?ziplineFileId=cmd53ir9a00oaqj01aas2p7yl"",""https://storage.uptecnology.com.br/u/Pizza%20Margherita%20Cl%C3%A1ssica%20da%20Nona-2.png?ziplineFileId=cmd53irab00obqj01kpojnlf6""]",true,0,26,PRODUTO
127,2025-07-15 15:15:35.300617-03,Pepperoni Infernal,52.00,Para os fãs de pimenta e sabor intenso.,"[""molho de tomate"",""muçarela"",""pepperoni"",""orégano"",""pimenta calabresa""]","[""https://storage.uptecnology.com.br/u/Pepperoni%20Infernal.png?ziplineFileId=cmd53jcve00ocqj01co7nukan"",""https://storage.uptecnology.com.br/u/Pepperoni_Infernal-2.png?ziplineFileId=cmd53jcxc00odqj01ayvtyr38""]",true,0,26,PRODUTO
128,2025-07-15 15:15:35.300617-03,Quatro Queijos Cremosa,49.90,Uma mistura irresistível dos melhores queijos.,"[""molho branco"",""muçarela"",""gorgonzola"",""provolone"",""parmesão""]","[""https://storage.uptecnology.com.br/u/Quatro_Queijos.png?ziplineFileId=cmd53jska00oeqj01g41cuaob"",""https://storage.uptecnology.com.br/u/Quatro_Queijos_Cremosa.png?ziplineFileId=cmd53jsot00ofqj01crajjwxe""]",true,0,26,PRODUTO
129,2025-07-15 15:15:35.300617-03,Frango com Catupiry Supremo,50.00,"Clássico amado, com muito recheio.","[""molho de tomate"",""frango desfiado"",""catupiry"",""orégano""]","[""https://storage.uptecnology.com.br/u/Frango_Catupiry.png?ziplineFileId=cmd53gd5000o5qj01ex34rmc6"",""https://storage.uptecnology.com.br/u/Frango_com_Catupiry.png?ziplineFileId=cmd53gd6900o6qj010ew261uf""]",true,0,26,PRODUTO
